"","date","usaf","wban","code","station","lat","lon","elev","wd","ws","ceil_hgt","visibility","air_temp","dew_point","atmos_pres","RH","cl_1","cl_1_height","cl_2","cl_2_height","cl_3","cl_3_height","cl","year"
"1",2020-01-01 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,326,2,NA,21400,2.7,-4.9,1031.1,57.7067536897397,NA,3000,NA,NA,NA,NA,NA,"2020"
"2",2020-01-01 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,322,1.5,NA,15500,3.5,-5.9,1030.7,50.5977808830564,NA,3000,NA,NA,NA,NA,NA,"2020"
"3",2020-01-01 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,325,1.9,NA,14500,4.2,-3.8,1027.6,56.394541777381,NA,3000,NA,NA,NA,NA,NA,"2020"
"4",2020-01-01 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,358,2.4,NA,11700,4.2,-1.8,1027.7,65.3307207834971,NA,3000,NA,NA,NA,NA,NA,"2020"
"5",2020-01-01 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,346,3.3,NA,5500,3.7,1.2,1029.5,83.9186268450675,NA,3000,NA,NA,NA,NA,NA,"2020"
"6",2020-01-01 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,331,3,NA,4200,4,1.3,1029,82.7730317906342,NA,NA,NA,NA,NA,NA,NA,"2020"
"7",2020-01-01 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,338,3.5,NA,6800,3.7,-1.3,1028.9,70.1472434197384,NA,NA,NA,NA,NA,NA,NA,"2020"
"8",2020-01-02 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,329,3.2,NA,5100,3.7,1.3,1030.8,84.5154851654803,NA,3000,NA,NA,NA,NA,NA,"2020"
"9",2020-01-02 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,330,3.4,NA,4500,4.7,2.1,1032.2,83.4445834425261,NA,3000,NA,NA,NA,NA,NA,"2020"
"10",2020-01-02 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,337,3.4,NA,5300,5.7,2.3,1029.4,79.0051072336531,NA,3000,NA,NA,NA,NA,NA,"2020"
"11",2020-01-02 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,349,2.5,NA,5000,5.7,2.6,1029.1,80.6877951619586,NA,3000,NA,NA,NA,NA,NA,"2020"
"12",2020-01-02 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,331,3,NA,4000,5.2,3,1030.4,85.8747730700284,NA,3000,NA,NA,NA,NA,NA,"2020"
"13",2020-01-02 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,318,2.1,NA,3500,5.2,3.7,1029.8,90.1665037358014,NA,NA,NA,NA,NA,NA,NA,"2020"
"14",2020-01-02 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,339,2.5,NA,4400,5.2,2.7,1029.1,84.0908893772085,NA,NA,NA,NA,NA,NA,NA,"2020"
"15",2020-01-03 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,331,2.7,NA,4700,5.2,2.3,1030.1,81.7628595337731,NA,3000,NA,NA,NA,NA,NA,"2020"
"16",2020-01-03 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,324,2.1,NA,3900,6.5,3.9,1030.6,83.6547831192901,NA,3000,NA,NA,NA,NA,NA,"2020"
"17",2020-01-03 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,326,2.2,NA,1600,5.2,5,1028.6,98.6369266940595,NA,3000,NA,NA,NA,NA,NA,"2020"
"18",2020-01-03 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,344,1.3,NA,2100,5.7,5.2,1027.8,96.6355802485384,NA,3000,NA,NA,NA,NA,NA,"2020"
"19",2020-01-03 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,309,1.7,NA,2000,5.7,5.4,1029.1,97.9692689319471,NA,3000,NA,NA,NA,NA,NA,"2020"
"20",2020-01-03 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,305,0.6,NA,2600,5.6,4.9,1027.9,95.3142798205118,NA,NA,NA,NA,NA,NA,NA,"2020"
"21",2020-01-03 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,178,1.2,NA,1300,5,4.9,1026.5,99.3153642161669,NA,NA,NA,NA,NA,NA,NA,"2020"
"22",2020-01-04 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,265,0.7,NA,1200,5,4.8,1027.7,98.6348333013851,NA,3000,NA,NA,NA,NA,NA,"2020"
"23",2020-01-04 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,166,1,NA,3000,7.5,5.2,1028.3,85.5159247779981,NA,3000,NA,NA,NA,NA,NA,"2020"
"24",2020-01-04 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,171,1.3,NA,3700,8.7,5.2,1025.4,78.8877101685497,NA,3000,NA,NA,NA,NA,NA,"2020"
"25",2020-01-04 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,207,1,NA,3500,8.2,4.7,1024.7,78.8161643579451,NA,3000,NA,NA,NA,NA,NA,"2020"
"26",2020-01-04 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,217,0.8,NA,1700,7,6.3,1025.7,95.3631563263899,NA,3000,NA,NA,NA,NA,NA,"2020"
"27",2020-01-04 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,360,0.2,NA,100,6.2,6.2,1022.9,100,NA,NA,NA,NA,NA,NA,NA,"2020"
"28",2020-01-04 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,339,1.6,NA,100,6.5,6.3,1021.3,98.6503788018625,NA,NA,NA,NA,NA,NA,NA,"2020"
"29",2020-01-05 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,329,1.5,NA,100,6.6,6.5,1022.1,99.3236985474459,NA,NA,NA,NA,NA,NA,NA,"2020"
"30",2020-01-05 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,307,1.3,NA,100,7.5,7.3,1022.6,98.660547264178,NA,300,NA,NA,NA,NA,NA,"2020"
"31",2020-01-05 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,321,2,NA,500,7.7,7.7,1019.6,100,NA,300,NA,NA,NA,NA,NA,"2020"
"32",2020-01-05 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,333,2,NA,300,8.2,8.1,1019.5,99.3318324059502,NA,300,NA,NA,NA,NA,NA,"2020"
"33",2020-01-05 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,321,2.2,NA,300,8.5,8.4,1021.5,99.3333357720072,NA,300,NA,NA,NA,NA,NA,"2020"
"34",2020-01-05 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,321,4,NA,1200,5,4.9,1022.2,99.3153642161669,NA,NA,NA,NA,NA,NA,NA,"2020"
"35",2020-01-05 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,323,4.7,NA,2000,4.5,4.4,1021.7,99.3127174489207,NA,NA,NA,NA,NA,NA,NA,"2020"
"36",2020-01-06 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,324,4.5,NA,1500,4.2,4.2,1023.1,100,NA,3000,NA,NA,NA,NA,NA,"2020"
"37",2020-01-06 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,325,5,NA,2000,4.5,4.4,1024,99.3127174489207,NA,3000,NA,NA,NA,NA,NA,"2020"
"38",2020-01-06 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,326,4.5,NA,1300,4.7,4.6,1020.3,99.3137786077622,NA,3000,NA,NA,NA,NA,NA,"2020"
"39",2020-01-06 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,333,5.3,NA,1300,4.5,4.3,1019.2,98.6295715803893,NA,3000,NA,NA,NA,NA,NA,"2020"
"40",2020-01-06 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,325,5,NA,1500,4.1,4,1020.6,99.3105852550045,NA,3000,NA,NA,NA,NA,NA,"2020"
"41",2020-01-06 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,339,5,NA,1700,2.5,2.3,1020.3,98.6081127501149,NA,NA,NA,NA,NA,NA,NA,"2020"
"42",2020-01-06 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,314,3.1,NA,3200,3,2.8,1021.3,98.6135402133915,NA,NA,NA,NA,NA,NA,NA,"2020"
"43",2020-01-07 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,332,2.7,NA,3000,3.6,3.5,1023.2,99.3079013360731,NA,3000,NA,NA,NA,NA,NA,"2020"
"44",2020-01-07 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,334,2.2,NA,6700,6.7,5.2,1024.8,90.2740058951988,NA,3000,NA,NA,NA,NA,NA,"2020"
"45",2020-01-07 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,336,3.2,NA,12700,9,5.1,1024.7,76.7900526242528,NA,NA,NA,NA,NA,NA,NA,"2020"
"46",2020-01-07 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,302,0.3,NA,10900,8.7,5.3,1025.3,79.431855044103,NA,3000,NA,NA,NA,NA,NA,"2020"
"47",2020-01-07 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,48,2.7,NA,11700,6.2,3.6,1027.2,83.6201202312604,NA,3000,NA,NA,NA,NA,NA,"2020"
"48",2020-01-07 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,107,2.8,NA,4600,4.5,4.1,1029.9,97.2756045439699,NA,NA,NA,NA,NA,NA,NA,"2020"
"49",2020-01-07 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,136,1.4,NA,8700,4.7,3.5,1028.5,92.0328891574728,NA,NA,NA,NA,NA,NA,NA,"2020"
"50",2020-01-08 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,162,1.4,NA,5100,4.6,3.7,1029.2,93.9661478514012,NA,3000,NA,NA,NA,NA,NA,"2020"
"51",2020-01-08 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,346,0.7,NA,8100,5,2.9,1030.3,86.4571256218044,NA,3000,NA,NA,NA,NA,NA,"2020"
"52",2020-01-08 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,339,1.8,NA,1500,4,3.9,1027.3,99.3100501377977,NA,3000,NA,NA,NA,NA,NA,"2020"
"53",2020-01-08 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,333,2.8,NA,2600,4,3.9,1026.9,99.3100501377977,NA,3000,NA,NA,NA,NA,NA,"2020"
"54",2020-01-08 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,335,1.9,NA,1500,2.5,2.4,1027.4,99.3019225211151,NA,3000,NA,NA,NA,NA,NA,"2020"
"55",2020-01-08 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,332,3,NA,600,1.1,1,1026.1,99.2941620620039,NA,NA,NA,NA,NA,NA,NA,"2020"
"56",2020-01-08 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,320,3.6,NA,300,1,0.9,1025.4,99.293601135807,NA,NA,NA,NA,NA,NA,NA,"2020"
"57",2020-01-09 00:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,331,3.2,NA,600,1,0.9,1026,99.293601135807,NA,NA,NA,NA,NA,NA,NA,"2020"
"58",2020-01-09 03:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,326,3.9,NA,3500,1.2,1.1,1027.3,99.2947220980881,NA,3000,NA,NA,NA,NA,NA,"2020"
"59",2020-01-09 06:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,338,3.9,NA,3700,2.2,2.1,1024.4,99.3002739651884,NA,NA,NA,NA,NA,NA,NA,"2020"
"60",2020-01-09 09:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,331,3.9,NA,3200,2.1,2,1025,99.2997227148909,NA,3000,NA,NA,NA,NA,NA,"2020"
"61",2020-01-09 12:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,330,3.1,NA,2200,2,1.8,1025.9,98.6026426276258,NA,3000,NA,NA,NA,NA,NA,"2020"
"62",2020-01-09 18:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,351,2.8,NA,1500,2.2,2.1,1025.3,99.3002739651884,NA,NA,NA,NA,NA,NA,NA,"2020"
"63",2020-01-09 21:00:00,"573780","99999","573780-99999","ZHONGXIANG",31.2,112.63,108,334,3.2,NA,1500,2.1,2,1024.5,99.2997227148909,NA,NA,NA,NA,NA,NA,NA,"2020"
