"","date","usaf","wban","code","station","lat","lon","elev","wd","ws","ceil_hgt","visibility","air_temp","dew_point","atmos_pres","RH","cl_1","cl_1_height","cl_2","cl_2_height","cl_3","cl_3_height","cl","year"
"1",2020-01-01 00:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,30,1.5,22000,NA,-1,-3,NA,86.4739969574209,NA,NA,NA,NA,NA,NA,NA,"2020"
"2",2020-01-01 01:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,NA,-1,-2,NA,93.0220872858534,NA,NA,NA,NA,NA,NA,NA,"2020"
"3",2020-01-01 02:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,NA,-1,-2,NA,93.0220872858534,NA,NA,NA,NA,NA,NA,NA,"2020"
"4",2020-01-01 03:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,320,1.5,22000,NA,-2,-3,NA,92.966900269759,NA,NA,NA,NA,NA,NA,NA,"2020"
"5",2020-01-01 04:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,NA,-2,-3,NA,92.966900269759,NA,NA,NA,NA,NA,NA,NA,"2020"
"6",2020-01-01 06:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,280,1,NA,9900,-2,-3,NA,92.966900269759,NA,NA,NA,NA,NA,NA,NA,"2020"
"7",2020-01-01 07:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,NA,9900,-1,-2,NA,93.0220872858534,NA,NA,NA,NA,NA,NA,NA,"2020"
"8",2020-01-01 08:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,NA,9900,1,-2,NA,80.6176258026246,NA,NA,NA,NA,NA,NA,NA,"2020"
"9",2020-01-01 09:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,NA,9900,2,0,NA,86.7753415878902,NA,NA,NA,NA,NA,NA,NA,"2020"
"10",2020-01-01 10:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,NA,9900,5,0,NA,70.4030600714566,NA,NA,NA,NA,NA,NA,NA,"2020"
"11",2020-01-01 11:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,6000,7,0,NA,61.3879820779299,NA,NA,NA,NA,NA,NA,NA,"2020"
"12",2020-01-01 12:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,6000,8,1,NA,61.621577521668,NA,NA,NA,NA,NA,NA,NA,"2020"
"13",2020-01-01 13:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,8000,9,1,NA,57.6103934880834,NA,NA,NA,NA,NA,NA,NA,"2020"
"14",2020-01-01 14:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,NA,9900,10,1,NA,53.8841726305271,NA,NA,NA,NA,NA,NA,NA,"2020"
"15",2020-01-01 15:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,190,1,NA,9900,8,1,NA,61.621577521668,NA,NA,NA,NA,NA,NA,NA,"2020"
"16",2020-01-01 16:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,10,2.6,NA,9900,2,0,NA,86.7753415878902,NA,NA,NA,NA,NA,NA,NA,"2020"
"17",2020-01-01 18:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,NA,9900,3,1,NA,86.8728331374654,NA,NA,NA,NA,NA,NA,NA,"2020"
"18",2020-01-01 19:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,NA,9900,1,0,NA,93.1299043325016,NA,NA,NA,NA,NA,NA,NA,"2020"
"19",2020-01-01 20:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,90,1.5,NA,9900,0,-1,NA,93.0764153433908,NA,NA,NA,NA,NA,NA,NA,"2020"
"20",2020-01-01 21:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,NA,9900,0,-1,NA,93.0764153433908,NA,NA,NA,NA,NA,NA,NA,"2020"
"21",2020-01-01 22:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,5000,0,-1,NA,93.0764153433908,NA,NA,NA,NA,NA,NA,NA,"2020"
"22",2020-01-01 23:23:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,1,22000,4900,-1,-2,NA,93.0220872858534,NA,NA,NA,NA,NA,NA,NA,"2020"
"23",2020-01-01 23:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,NA,0.5,22000,3700,-1,-2,NA,93.0220872858534,NA,NA,NA,NA,NA,NA,NA,"2020"
"24",2020-01-02 00:50:00,"161810","99999","161810-99999","PERUGIA",43.096,12.513,211,320,1,22000,4200,0,-1,NA,93.0764153433908,NA,NA,NA,NA,NA,NA,NA,"2020"
