"","date","usaf","wban","code","station","lat","lon","elev","wd","ws","ceil_hgt","visibility","air_temp","dew_point","atmos_pres","RH","cl_1","cl_1_height","cl_2","cl_2_height","cl_3","cl_3_height","cl","year"
"1",2020-01-01 00:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"2",2020-01-01 01:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,57,1,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"3",2020-01-01 02:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,85,0.8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"4",2020-01-01 04:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,71,0.8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"5",2020-01-01 05:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,61,0.3,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"6",2020-01-01 06:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,73,0.5,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"7",2020-01-01 07:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,94,0.2,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"8",2020-01-01 08:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,65,0.2,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"9",2020-01-01 10:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,115,0.3,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"10",2020-01-01 11:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,151,0.9,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"11",2020-01-01 12:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,197,0.8,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"12",2020-01-01 13:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,206,0.5,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"13",2020-01-01 14:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,189,0.9,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"14",2020-01-01 16:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,204,0.3,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"15",2020-01-01 17:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,192,1.1,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"16",2020-01-01 18:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,200,0.3,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"17",2020-01-01 19:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,360,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"18",2020-01-01 20:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,242,0.6,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"19",2020-01-01 22:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,83,0.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"20",2020-01-01 23:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,94,0.9,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"21",2020-01-02 00:00:00,"082220","99999","082220-99999","MADRID RETIRO",40.412,-3.678,667,76,0.7,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
