"","date","usaf","wban","code","station","lat","lon","elev","wd","ws","ceil_hgt","visibility","air_temp","dew_point","atmos_pres","RH","cl_1","cl_1_height","cl_2","cl_2_height","cl_3","cl_3_height","cl","year"
"1",2020-01-01 01:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.4,13.9,1014.1,52.0486021246778,NA,NA,NA,NA,NA,NA,NA,"2020"
"2",2020-01-01 02:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,25.4,14.2,1013.5,49.9768287283296,NA,NA,NA,NA,NA,NA,NA,"2020"
"3",2020-01-01 04:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.3,14.4,1013.3,54.0837382832666,NA,NA,NA,NA,NA,NA,NA,"2020"
"4",2020-01-01 05:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.1,15.6,1013.1,59.1242614971961,NA,NA,NA,NA,NA,NA,NA,"2020"
"5",2020-01-01 07:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,23.2,16,1014.1,64.0401618291685,NA,NA,NA,NA,NA,NA,NA,"2020"
"6",2020-01-01 08:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.9,16.4,1015.1,66.8938212060095,NA,NA,NA,NA,NA,NA,NA,"2020"
"7",2020-01-01 10:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.3,17,1017.4,72.0607038730889,NA,NA,NA,NA,NA,NA,NA,"2020"
"8",2020-01-01 11:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.2,16.7,1018,71.139345161826,NA,NA,NA,NA,NA,NA,NA,"2020"
"9",2020-01-01 13:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,20.6,16.2,1018.9,76.0105274836852,NA,NA,NA,NA,NA,NA,NA,"2020"
"10",2020-01-01 14:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,19.6,16.3,1018.4,81.360723442135,NA,NA,NA,NA,NA,NA,NA,"2020"
"11",2020-01-01 16:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,19.9,15.3,1017.8,74.9454337950528,NA,NA,NA,NA,NA,NA,NA,"2020"
"12",2020-01-01 17:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,20.2,15.2,1017.8,73.1013571909175,NA,NA,NA,NA,NA,NA,NA,"2020"
"13",2020-01-01 19:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,20.3,15.1,1018.6,72.1888118091403,NA,NA,NA,NA,NA,NA,NA,"2020"
"14",2020-01-01 20:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,20.7,13.9,1019.2,65.2023980273198,NA,NA,NA,NA,NA,NA,NA,"2020"
"15",2020-01-01 22:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.6,13.4,1019.9,56.1906623748375,NA,NA,NA,NA,NA,NA,NA,"2020"
"16",2020-01-01 23:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,23.9,13.4,1019.8,51.929361262923,NA,NA,NA,NA,NA,NA,NA,"2020"
"17",2020-01-02 01:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.4,12.7,1018.9,48.1364458120228,NA,NA,NA,NA,NA,NA,NA,"2020"
"18",2020-01-02 02:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,25.1,13.3,1018.3,47.9956248311487,NA,NA,NA,NA,NA,NA,NA,"2020"
"19",2020-01-02 04:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,25.1,13.6,1017.2,48.9417876633537,NA,NA,NA,NA,NA,NA,NA,"2020"
"20",2020-01-02 05:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.9,14.4,1016.9,52.1672816651466,NA,NA,NA,NA,NA,NA,NA,"2020"
"21",2020-01-02 07:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,24.1,16.4,1016.3,62.2153030861225,NA,NA,NA,NA,NA,NA,NA,"2020"
"22",2020-01-02 08:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,23.7,16.2,1016.8,62.9289579042737,NA,NA,NA,NA,NA,NA,NA,"2020"
"23",2020-01-02 10:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,23,16.5,1018.2,66.9125308078738,NA,NA,NA,NA,NA,NA,NA,"2020"
"24",2020-01-02 11:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.9,16.9,1018.8,69.045260078644,NA,NA,NA,NA,NA,NA,NA,"2020"
"25",2020-01-02 13:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.6,17.3,1019,72.1098908528521,NA,NA,NA,NA,NA,NA,NA,"2020"
"26",2020-01-02 14:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.5,17.2,1018.1,72.0935142474999,NA,NA,NA,NA,NA,NA,NA,"2020"
"27",2020-01-02 16:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.4,17.3,1016.7,72.9912108448251,NA,NA,NA,NA,NA,NA,NA,"2020"
"28",2020-01-02 17:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.1,17.5,1016.7,75.2764874469415,NA,NA,NA,NA,NA,NA,NA,"2020"
"29",2020-01-02 19:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.2,17.6,1016.8,75.2913291836223,NA,NA,NA,NA,NA,NA,NA,"2020"
"30",2020-01-02 20:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,22.4,17.8,1017,75.3209596697313,NA,NA,NA,NA,NA,NA,NA,"2020"
"31",2020-01-02 22:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,23.8,18.2,1017.5,70.9615372595264,NA,NA,NA,NA,NA,NA,NA,"2020"
"32",2020-01-02 23:00:00,"947680","99999","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,40,NA,0,NA,NA,26.2,18.3,1017,61.8611451827523,NA,NA,NA,NA,NA,NA,NA,"2020"
