"","date","usaf","wban","code","station","lat","lon","elev","wd","ws","ceil_hgt","visibility","air_temp","dew_point","atmos_pres","RH","cl_1","cl_1_height","cl_2","cl_2_height","cl_3","cl_3_height","cl","year"
"1",2020-01-01 00:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,230,2.6,22000,16093,4.4,-6.7,1018.1,44.7108754513693,NA,NA,NA,NA,NA,NA,NA,"2020"
"2",2020-01-01 01:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,210,2.1,22000,16093,2.8,-6.1,1018,52.3502295585267,NA,NA,NA,NA,NA,NA,NA,"2020"
"3",2020-01-01 02:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,170,2.1,22000,16093,-0.6,-4.4,1017.8,75.7674540174303,NA,NA,NA,NA,NA,NA,NA,"2020"
"4",2020-01-01 03:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,170,2.6,22000,16093,-0.6,-5.6,1017.4,69.2690744744285,NA,NA,NA,NA,NA,NA,NA,"2020"
"5",2020-01-01 04:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,150,1.5,22000,16093,0,-6.7,1017.2,61.0495951293457,NA,NA,NA,NA,NA,NA,NA,"2020"
"6",2020-01-01 05:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.094,-95.572,230,180,3.1,22000,16093,-0.6,-6.1,1016.4,66.7088244044776,NA,NA,NA,NA,NA,NA,NA,"2020"
"7",2020-01-01 06:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,190,3.6,22000,16093,-1.1,-6.1,1015.3,69.1636421096745,0,NA,NA,NA,NA,NA,0,"2020"
"8",2020-01-01 07:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,170,3.1,22000,16093,-0.6,-6.1,1014.3,66.7088244044776,0,NA,NA,NA,NA,NA,0,"2020"
"9",2020-01-01 08:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,180,2.1,22000,16093,-0.6,-6.1,1014.3,66.7088244044776,0,NA,NA,NA,NA,NA,0,"2020"
"10",2020-01-01 09:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,170,3.1,22000,16093,-1.1,-6.1,1013.7,69.1636421096745,0,NA,NA,NA,NA,NA,0,"2020"
"11",2020-01-01 10:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,180,3.1,22000,16093,-1.1,-6.1,1012.9,69.1636421096745,0,NA,NA,NA,NA,NA,0,"2020"
"12",2020-01-01 11:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,180,3.1,22000,16093,-1.1,-6.1,1012.3,69.1636421096745,0,NA,NA,NA,NA,NA,0,"2020"
"13",2020-01-01 12:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,170,3.1,22000,16093,-1.1,-5.6,1012,71.8168341058764,0,NA,NA,NA,NA,NA,0,"2020"
"14",2020-01-01 13:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,170,3.6,22000,16093,1.1,-4.4,1011.4,67.0848470501442,0,NA,NA,NA,NA,NA,0,"2020"
"15",2020-01-01 14:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,170,4.6,22000,16093,3.3,-3.3,1010.7,62.3155361645418,0,NA,NA,NA,NA,NA,0,"2020"
"16",2020-01-01 15:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,190,7.2,22000,16093,7.2,-2.8,1010.5,49.3897750436765,0,NA,NA,NA,NA,NA,0,"2020"
"17",2020-01-01 16:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,190,8.8,22000,16093,9.4,-2.2,1009,44.48399355673,0,NA,NA,NA,NA,NA,0,"2020"
"18",2020-01-01 17:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,190,8.2,22000,16093,11.1,-1.1,1007.7,43.0435844697745,0,NA,NA,NA,NA,NA,0,"2020"
"19",2020-01-01 18:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,180,7.2,22000,16093,13.3,0,1005.6,40.3372670122054,0,NA,NA,NA,NA,NA,0,"2020"
"20",2020-01-01 19:52:00,"724519","93967","724519-93967","COFFEYVILLE MUNICIPAL ARPT",37.091,-95.566,229,190,10.3,22000,16093,14.4,1.1,1003.4,40.6455360751657,0,NA,NA,NA,NA,NA,0,"2020"
